feature,mean_importance
Process_Temperature_ratio_Rotational_Speed,-0.001895858687720972
Tool_Wear_ratio_Torque,-0.0011264669074725633
Tool_Wear_sum_Rotational_Speed,-0.0008350139541851154
Torque_ratio_Tool_Wear,-0.00014004828388001212
Torque_sum_Rotational_Speed,0.0008681470432815059
Torque_diff_Tool_Wear,0.0018114771014381193
Air_Temperature_ratio_Tool_Wear,0.0022641821997002403
Type,0.006810806242461868
Air_Temperature_diff_Tool_Wear,0.010300342739086669
Torque,0.01908487287243567
Rotational_Speed_ratio_Process_Temperature,0.024205969507019816
Rotational_Speed,0.028267296057921016
Tool_Wear,0.036775369906059466
Process_Temperature,0.07182936122178303
Torque_multiply_Rotational_Speed,0.07652284254941041
Air_Temperature,0.1178137387254784
