feature,mean_importance
Rotational_Speed_ratio_Process_Temperature,-0.0002544418619760916
Torque_ratio_Tool_Wear,0.0003122120547955104
Tool_Wear_sum_Rotational_Speed,0.00045008450293552993
Torque_diff_Tool_Wear,0.0006901084369013821
Process_Temperature_ratio_Rotational_Speed,0.0012015018825658169
random_feature,0.001325191940509525
Tool_Wear_ratio_Torque,0.0017171943872210786
Air_Temperature_ratio_Tool_Wear,0.0024276575587478034
Type,0.004315297803878235
Torque_sum_Rotational_Speed,0.006635604072297142
Air_Temperature_diff_Tool_Wear,0.013509877527525024
Torque,0.013751350231587908
Tool_Wear,0.039778457366779006
Rotational_Speed,0.06230671603689706
Process_Temperature,0.07128357977105942
Torque_multiply_Rotational_Speed,0.10272002058752475
Air_Temperature,0.1630955445877053
