feature,mean_importance
Torque_diff_Tool_Wear,-0.0006097692339143354
Tool_Wear_ratio_Torque,0.00028831268327970114
Type,0.002622764948612999
Air_Temperature_ratio_Tool_Wear,0.004240129370449294
Torque_sum_Rotational_Speed,0.007377786183639096
Rotational_Speed_ratio_Process_Temperature,0.007753944792647421
Air_Temperature_diff_Tool_Wear,0.009217890500641934
Rotational_Speed,0.015308776589295045
Torque,0.025518375116519488
Tool_Wear,0.04052937571967942
Process_Temperature,0.05883782434409557
Torque_multiply_Rotational_Speed,0.08335012455452431
Air_Temperature,0.1295517752963504
