feature,mean_importance
75_LightGBM_GoldenFeatures_prediction_Tool_Wear_Failure,-0.0023621429630679954
60_NeuralNetwork_prediction_Tool_Wear_Failure,-0.0012282405911267515
55_NeuralNetwork_prediction_Power_Failure,-0.0010854353541334336
51_ExtraTrees_prediction_Power_Failure,-0.0010600532422225084
59_NeuralNetwork_prediction_Overstrain_Failure,-0.0009780501317768516
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_prediction_No_Failure,-0.0006688747458017868
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Power_Failure,-0.000456930209751287
Type,-0.00036197000991850805
27_CatBoost_prediction_Tool_Wear_Failure,-0.0003439103580106198
Process_Temperature,-0.00030221376848395406
65_Xgboost_GoldenFeatures_prediction_Heat_Dissipation_Failure,-0.00029765388276582343
18_LightGBM_prediction_No_Failure,-0.0002888868997362959
57_NeuralNetwork_SelectedFeatures_prediction_Tool_Wear_Failure,-0.00028013269234700573
59_NeuralNetwork_prediction_Power_Failure,-0.0002726411963025019
60_NeuralNetwork_prediction_Heat_Dissipation_Failure,-0.00024799617291726
58_NeuralNetwork_prediction_Heat_Dissipation_Failure,-0.00023492824521564314
2_Default_Xgboost_GoldenFeatures_SelectedFeatures_BoostOnErrors_prediction_Overstrain_Failure,-0.00023412621513751452
55_NeuralNetwork_prediction_Heat_Dissipation_Failure,-0.0002289860771371166
73_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Heat_Dissipation_Failure,-0.0002027012042501039
49_ExtraTrees_prediction_Tool_Wear_Failure,-0.00018301776528951985
29_CatBoost_prediction_Tool_Wear_Failure,-0.00017693497960651479
48_ExtraTrees_prediction_Power_Failure,-0.00017476728006084462
41_RandomForest_prediction_Power_Failure,-0.0001707808247188844
33_CatBoost_prediction_Power_Failure,-0.00016179684020731778
68_LightGBM_GoldenFeatures_SelectedFeatures_prediction_Power_Failure,-0.0001598531080699947
71_CatBoost_prediction_Tool_Wear_Failure,-0.00015743794299855618
6_Default_ExtraTrees_prediction_No_Failure,-0.00015474936055118182
6_Default_ExtraTrees_prediction_Tool_Wear_Failure,-0.00014186154485906072
45_ExtraTrees_prediction_Tool_Wear_Failure,-0.00014033912500186347
35_RandomForest_prediction_Power_Failure,-0.00013991106692616827
50_ExtraTrees_prediction_Heat_Dissipation_Failure,-0.00013551230503271866
53_NeuralNetwork_prediction_Power_Failure,-0.00012324784821068495
29_CatBoost_prediction_Power_Failure,-0.0001185141631878231
70_CatBoost_prediction_Heat_Dissipation_Failure,-0.00011846841587287022
31_CatBoost_SelectedFeatures_prediction_Tool_Wear_Failure,-0.00011575077302576064
48_ExtraTrees_prediction_No_Failure,-0.00010978171758575794
4_Default_NeuralNetwork_prediction_Power_Failure,-0.00010327655982309281
51_ExtraTrees_prediction_Tool_Wear_Failure,-0.00010193699134438544
44_ExtraTrees_prediction_Power_Failure,-9.881672641731814e-05
73_Xgboost_GoldenFeatures_SelectedFeatures_prediction_No_Failure,-9.39047006586688e-05
42_RandomForest_prediction_Overstrain_Failure,-9.209943138254323e-05
32_CatBoost_prediction_No_Failure,-9.160200279116764e-05
65_Xgboost_GoldenFeatures_prediction_No_Failure,-9.117267741044488e-05
60_NeuralNetwork_prediction_Overstrain_Failure,-8.145111192799509e-05
22_LightGBM_prediction_Power_Failure,-7.77987976666783e-05
55_NeuralNetwork_prediction_No_Failure,-7.73230033308439e-05
48_ExtraTrees_prediction_Tool_Wear_Failure,-7.176719072647248e-05
54_NeuralNetwork_prediction_Tool_Wear_Failure,-7.12687082637567e-05
40_RandomForest_prediction_No_Failure,-7.113866034017396e-05
34_RandomForest_prediction_Heat_Dissipation_Failure,-7.083014600438031e-05
78_CatBoost_SelectedFeatures_prediction_Heat_Dissipation_Failure,-7.042066223198612e-05
2_Default_Xgboost_GoldenFeatures_prediction_No_Failure,-5.6897319285861836e-05
38_RandomForest_prediction_No_Failure,-5.1612856724680964e-05
Torque,-4.719205301621371e-05
Air_Temperature,-4.677740503274269e-05
39_RandomForest_SelectedFeatures_prediction_Tool_Wear_Failure,-4.665777884183403e-05
29_CatBoost_prediction_Overstrain_Failure,-4.442816492391116e-05
56_NeuralNetwork_prediction_Overstrain_Failure,-4.329450089472636e-05
43_ExtraTrees_prediction_Overstrain_Failure,-4.2838167870681845e-05
35_RandomForest_prediction_Overstrain_Failure,-4.2146227275934034e-05
62_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Power_Failure,-4.142721208105493e-05
28_CatBoost_prediction_Heat_Dissipation_Failure,-3.991220520579153e-05
59_NeuralNetwork_prediction_Tool_Wear_Failure,-3.596461690754532e-05
41_RandomForest_prediction_Tool_Wear_Failure,-3.59470137750853e-05
74_Xgboost_GoldenFeatures_prediction_No_Failure,-3.45743939596993e-05
4_Default_NeuralNetwork_prediction_Tool_Wear_Failure,-3.3701050270361355e-05
62_Xgboost_GoldenFeatures_SelectedFeatures_prediction_Heat_Dissipation_Failure,-2.7086539536974598e-05
44_ExtraTrees_prediction_Heat_Dissipation_Failure,-2.5011197871788184e-05
34_RandomForest_prediction_Overstrain_Failure,-2.46919634275769e-05
60_NeuralNetwork_prediction_Power_Failure,-2.4444092774052185e-05
53_NeuralNetwork_prediction_No_Failure,-2.317747304522999e-05
2_Default_Xgboost_GoldenFeatures_prediction_Overstrain_Failure,-2.115913408132497e-05
54_NeuralNetwork_prediction_Heat_Dissipation_Failure,-1.6856832879531825e-05
22_LightGBM_prediction_Overstrain_Failure,-1.5379021790348778e-05
70_CatBoost_prediction_Tool_Wear_Failure,-1.3676428087169844e-05
51_ExtraTrees_prediction_Heat_Dissipation_Failure,-1.3362509750997064e-05
2_Default_Xgboost_categorical_mix_GoldenFeatures_prediction_Tool_Wear_Failure,-1.3317548528478385e-05
71_CatBoost_prediction_Heat_Dissipation_Failure,-1.2406774498865958e-05
