feature,mean_importance
Tool_Wear_sum_Rotational_Speed,-0.0010580816315934258
Type_H,-5.8078755499453574e-05
Rotational_Speed_ratio_Process_Temperature,-1.2866562934060743e-05
Torque_ratio_Tool_Wear,0.0005604455298440821
Type_M,0.000841780632010003
Process_Temperature_ratio_Rotational_Speed,0.0009641792320127296
Torque_diff_Tool_Wear,0.0014815849394799018
Tool_Wear_ratio_Torque,0.0022648024180556654
Type_L,0.0030581152509456047
Air_Temperature_ratio_Tool_Wear,0.004840984664811666
Torque_sum_Rotational_Speed,0.005754620484032138
Air_Temperature_diff_Tool_Wear,0.011714508104241572
Torque,0.016697054356112885
Tool_Wear,0.03746413547924225
Rotational_Speed,0.06507424571672198
Process_Temperature,0.07520110098644477
Torque_multiply_Rotational_Speed,0.10747038982231168
Air_Temperature,0.17120996929663315
