feature,mean_importance
Dist_Cluster_3,0.0012158733839600505
FLY_ASH,0.002680135443927431
Dist_Cluster_7,0.006197516721985877
COARSE_AGGREGATE,0.007683254326618075
Cluster,0.007826383991366068
Dist_Cluster_5,0.010341564328947889
Dist_Cluster_0,0.010820222913229857
Dist_Cluster_4,0.011882554163906614
Dist_Cluster_2,0.013286360747843826
SUPERPLASTICIZER,0.02056538418219609
Dist_Cluster_6,0.02677910183853688
FINE_AGGREGATE,0.03483714341998235
BLAST_FURNACE_SLAG,0.06420595615923545
Dist_Cluster_1,0.12050335041187324
WATER,0.1696230055469302
CEMENT,0.28388732079016343
AGE,0.47945029768360586
