feature,mean_importance
Cluster,0.0006081664668810466
Dist_Cluster_2,0.007441353818111318
Dist_Cluster_0,0.00770492554879248
Dist_Cluster_5,0.009266282049060015
Dist_Cluster_3,0.011235767703575586
Dist_Cluster_4,0.011369462423596422
FLY_ASH,0.012685534217694583
COARSE_AGGREGATE,0.013838934842145304
Dist_Cluster_7,0.01568257673054614
SUPERPLASTICIZER,0.017430561579015413
BLAST_FURNACE_SLAG,0.025521408308349924
Dist_Cluster_6,0.028425824151407993
FINE_AGGREGATE,0.030862985865731753
Dist_Cluster_1,0.047373434975685566
WATER,0.12428692918754314
CEMENT,0.2530983349989263
AGE,0.6507440926407184
